prediction,label
0.4378256,0.0
0.42673752,1.0
0.39442626,1.0
0.46304637,1.0
0.46860108,1.0
0.42822877,1.0
0.4389773,0.0
0.4328909,0.0
0.4247962,0.0
0.3787058,1.0
0.4571797,0.0
0.4528063,1.0
0.49576783,0.0
0.48681006,1.0
0.4117132,0.0
0.46388417,1.0
0.45345125,0.0
0.44253954,0.0
0.4235735,1.0
0.44001657,0.0
0.47292256,1.0
0.42446667,1.0
0.47913796,0.0
0.4879775,1.0
0.4085929,0.0
0.41231877,1.0
0.38558498,1.0
0.44841748,0.0
0.41636094,0.0
0.42904186,0.0
0.46556836,1.0
0.4350276,1.0
0.43029672,1.0
0.47395492,0.0
0.47293583,0.0
0.4419814,1.0
0.49605066,1.0
0.4307333,0.0
0.4297473,1.0
0.46724772,0.0
0.43362957,0.0
0.49165136,0.0
0.48145938,1.0
0.45360002,1.0
0.43629894,1.0
0.45985326,1.0
0.41627336,0.0
0.48561952,1.0
0.45235297,1.0
0.42098203,1.0
0.44208393,1.0
0.45478398,1.0
0.460481,0.0
0.45264187,1.0
0.46635255,1.0
0.46640548,1.0
0.45148006,1.0
0.40832296,1.0
0.44691125,0.0
0.44116256,1.0
0.42449504,1.0
0.43658715,1.0
0.4765984,1.0
0.44367114,0.0
0.4422954,1.0
0.45652944,0.0
0.4781849,0.0
0.44504005,1.0
0.44389778,0.0
0.49768382,0.0
0.470018,1.0
0.42403802,1.0
0.44476423,1.0
0.45440277,0.0
0.41807276,0.0
0.47657356,0.0
0.46842146,1.0
0.4468557,1.0
0.4521326,0.0
0.42387637,1.0
0.44787255,0.0
0.4728476,0.0
0.4519875,1.0
0.43550345,1.0
0.48140278,0.0
0.4205062,1.0
0.3782556,1.0
0.41382647,0.0
0.44451734,0.0
0.4439344,0.0
0.478474,1.0
0.41773993,1.0
0.43517056,0.0
0.45483676,0.0
0.46967587,0.0
0.5022974,0.0
0.45306554,1.0
0.46736217,1.0
0.40829116,1.0
0.4550394,0.0
0.46159574,1.0
0.49941847,0.0
0.4274333,1.0
0.41783372,0.0
0.41844168,0.0
0.43100962,1.0
0.49038115,1.0
0.41550168,0.0
0.4740067,0.0
0.48604327,1.0
0.4905857,0.0
0.4764723,1.0
0.50278854,0.0
0.43462348,1.0
0.46307346,1.0
0.43326768,0.0
0.4659213,0.0
0.40393114,0.0
0.4413539,1.0
0.4234332,0.0
0.49623004,1.0
0.45345703,1.0
0.46257064,0.0
0.4375939,1.0
0.4224023,0.0
0.48292848,0.0
0.41564384,1.0
0.45013824,1.0
0.44768292,1.0
0.44817194,0.0
0.46539328,1.0
0.40568382,1.0
0.46212426,1.0
0.40985194,1.0
0.47908384,0.0
0.45626542,1.0
0.43378073,0.0
0.4784524,1.0
0.4505783,1.0
0.40525675,1.0
0.4602296,1.0
0.40481064,1.0
0.47100312,1.0
0.4487198,0.0
0.4640307,1.0
0.4187742,0.0
0.47148615,1.0
0.45408016,1.0
0.45432884,0.0
0.4724101,0.0
0.5078897,0.0
0.43819284,0.0
0.44681883,1.0
0.4734455,1.0
0.4283671,1.0
0.4745178,0.0
0.4609643,1.0
0.44826207,0.0
0.46873245,0.0
0.42132697,1.0
0.43681794,0.0
0.42484036,1.0
0.46816292,0.0
0.46151796,0.0
0.43899655,1.0
0.4170839,1.0
0.45354977,1.0
0.49235344,1.0
0.40411478,1.0
0.45196733,1.0
0.49562913,1.0
0.47445592,0.0
0.4586575,0.0
0.46015054,1.0
0.47085944,0.0
0.42217994,1.0
0.4227027,0.0
0.44544753,1.0
0.4148406,0.0
0.46520516,0.0
0.45943418,0.0
0.4203747,1.0
0.45793852,0.0
0.46689898,0.0
0.46843633,0.0
0.42655307,0.0
0.4380301,0.0
0.45897934,0.0
0.42255846,0.0
0.40795192,0.0
0.44233742,0.0
0.47164264,1.0
0.5060788,1.0
0.44677383,0.0
0.42484084,0.0
0.4946142,0.0
0.44535524,1.0
0.4322025,0.0
0.47037145,1.0
0.38564584,0.0
0.4506812,1.0
0.4459311,0.0
0.49354407,0.0
0.43819737,0.0
0.4213322,1.0
0.42644817,1.0
0.42793652,1.0
0.4267378,0.0
0.4649398,1.0
0.43277216,1.0
0.47424123,1.0
0.41865897,1.0
0.43233204,0.0
0.50135106,0.0
0.456077,1.0
0.48244676,1.0
0.401395,1.0
0.4734462,0.0
0.48234716,0.0
0.38326564,0.0
0.46263418,0.0
0.4594558,1.0
0.4728013,1.0
0.4329307,0.0
0.42030126,1.0
0.4430546,0.0
0.47061238,1.0
0.38972312,1.0
0.4450317,1.0
0.4709444,1.0
0.45346853,1.0
0.45053193,0.0
0.40602848,0.0
0.48285586,1.0
0.4122047,1.0
0.4378735,1.0
0.4683899,1.0
0.46253434,1.0
0.43185163,1.0
0.4742987,1.0
0.4666772,1.0
0.46004924,1.0
0.44246802,1.0
0.46729818,1.0
